epaper-nginx  | 87.197.132.75 - - [18/Oct/2025:17:42:55 +0000] "GET / HTTP/1.1" 200 537 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
epaper-nginx  | 87.197.132.75 - - [18/Oct/2025:17:42:55 +0000] "GET /assets/index-CDfN0Um8.js HTTP/1.1" 200 135661 "http://159.89.105.201/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
epaper-nginx  | 87.197.132.75 - - [18/Oct/2025:17:42:55 +0000] "GET /assets/index-5XNqcKze.css HTTP/1.1" 200 12536 "http://159.89.105.201/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
epaper-nginx  | 87.197.132.75 - - [18/Oct/2025:17:42:55 +0000] "GET /api/auth/user HTTP/1.1" 401 26 "http://159.89.105.201/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
epaper-app    | 5:42:55 PM [express] GET /api/auth/user 401 in 6ms :: {"message":"Unauthorized"}
epaper-nginx  | 87.197.132.75 - - [18/Oct/2025:17:42:56 +0000] "GET /favicon.ico HTTP/1.1" 200 537 "http://159.89.105.201/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
epaper-nginx  | 87.197.132.75 - - [18/Oct/2025:17:43:02 +0000] "POST /api/login HTTP/1.1" 200 278 "http://159.89.105.201/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
epaper-app    | 5:43:02 PM [express] POST /api/login 200 in 181ms :: {"id":"8b96e346-9569-49a4-a2c0-d9fa999d8c8a","u…
epaper-nginx  | 87.197.132.75 - - [18/Oct/2025:17:43:02 +0000] "GET /api/auth/user HTTP/1.1" 200 278 "http://159.89.105.201/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
epaper-app    | 5:43:02 PM [express] GET /api/auth/user 200 in 22ms :: {"id":"8b96e346-9569-49a4-a2c0-d9fa999d8c8a",…
epaper-nginx  | 87.197.132.75 - - [18/Oct/2025:17:43:02 +0000] "GET /api/members HTTP/1.1" 200 285 "http://159.89.105.201/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
epaper-app    | 5:43:02 PM [express] GET /api/members 200 in 31ms :: [{"id":"8b96e346-9569-49a4-a2c0-d9fa999d8c8a","…
epaper-nginx  | 87.197.132.75 - - [18/Oct/2025:17:43:02 +0000] "GET /api/sync/status HTTP/1.1" 200 124 "http://159.89.105.201/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
epaper-app    | 5:43:02 PM [express] GET /api/sync/status 200 in 35ms :: {"success":"true","syncedAt":"2025-10-18T17…
epaper-nginx  | 87.197.132.75 - - [18/Oct/2025:17:43:02 +0000] "GET /api/status-options HTTP/1.1" 304 0 "http://159.89.105.201/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
epaper-app    | 5:43:02 PM [express] GET /api/status-options 304 in 102ms :: []
epaper-nginx  | 87.197.132.75 - - [18/Oct/2025:17:43:02 +0000] "GET /api/epaper/verify HTTP/1.1" 200 125 "http://159.89.105.201/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
epaper-app    | 5:43:02 PM [express] GET /api/epaper/verify 200 in 79ms :: [{"username":"admin","epaperStatus":null,…
epaper-nginx  | 87.197.132.75 - - [18/Oct/2025:17:43:12 +0000] "GET /api/users HTTP/1.1" 200 281 "http://159.89.105.201/admin/users" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
epaper-app    | 5:43:12 PM [express] GET /api/users 200 in 22ms :: [{"id":"8b96e346-9569-49a4-a2c0-d9fa999d8c8a","us…
epaper-nginx  | 87.197.132.75 - - [18/Oct/2025:17:43:12 +0000] "GET /favicon.ico HTTP/1.1" 304 0 "http://159.89.105.201/admin/users" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
epaper-nginx  | 87.197.132.75 - - [18/Oct/2025:17:44:07 +0000] "PATCH /api/users/8b96e346-9569-49a4-a2c0-d9fa999d8c8a HTTP/1.1" 200 340 "http://159.89.105.201/admin/users" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
epaper-app    | 5:44:07 PM [express] PATCH /api/users/8b96e346-9569-49a4-a2c0-d9fa999d8c8a 200 in 49ms :: {"id":"8b9…
